iter	RMSE
0	73906.65363
1	68861.32285
2	64027.21694
3	59798.14289
4	56355.51271
5	53098.96408
6	49878.7463
7	47185.64148
8	44479.65299
9	42036.56964
10	39965.59837
11	38006.26332
12	36449.90983
13	35149.83882
14	33558.95473
15	32152.12392
16	30867.21905
17	29858.60928
18	28667.5688
19	27827.68936
20	27005.21728
21	26338.59036
22	25605.01051
23	24924.92595
24	24397.68594
25	23934.56783
26	23381.82079
27	23021.52939
28	22582.29765
29	22233.85034
30	21997.13882
31	21704.19323
32	21442.06302
33	21097.62712
34	20788.9712
35	20552.66474
36	20241.56083
37	19997.5491
38	19785.84923
39	19579.05076
40	19382.99845
41	19264.4996
42	19121.19633
43	18903.48278
44	18756.0499
45	18593.00634
46	18412.7506
47	18215.11073
48	18102.01589
49	17976.61208
50	17855.35641
51	17736.36737
52	17653.97647
53	17472.74197
54	17322.94333
55	17220.61091
56	17006.82444
57	16923.0751
58	16747.39473
59	16623.56462
60	16506.05364
61	16411.27048
62	16264.09883
63	16167.20345
64	16090.59872
65	15922.83567
66	15847.58537
67	15788.85198
68	15740.76948
69	15646.50345
70	15544.8783
71	15433.41059
72	15283.51028
73	15200.92378
74	15129.83231
75	14991.9969
76	14879.43488
77	14773.5575
78	14696.26837
79	14575.17306
80	14500.86508
81	14429.43537
82	14363.51949
83	14269.23108
84	14164.05132
85	14100.32461
86	14031.42924
87	13929.99115
88	13839.83473
89	13718.40153
90	13638.67081
91	13530.10481
92	13427.72456
93	13304.77822
94	13248.73678
95	13181.31745
96	13092.16727
97	13016.60504
98	12914.06608
99	12839.87688
100	12753.56775
101	12666.42864
102	12625.30312
103	12523.50914
104	12443.70622
105	12374.70172
106	12301.2562
107	12248.86201
108	12165.97633
109	12084.23045
110	12012.55359
111	11961.99634
112	11886.73675
113	11817.78001
114	11736.85044
115	11659.5625
116	11607.63552
117	11549.50072
118	11465.4266
119	11388.95864
120	11298.66135
121	11222.34496
122	11165.70253
123	11112.74052
124	11018.27132
125	10930.57079
126	10894.80855
127	10827.37235
128	10752.90125
129	10712.94826
130	10663.80964
131	10608.62672
132	10549.17339
133	10505.45014
134	10451.8335
135	10404.86299
136	10359.06089
137	10323.83255
138	10277.02906
139	10216.19316
140	10141.55732
141	10089.07955
142	10035.62446
143	9988.462068
144	9949.033763
145	9895.710214
146	9847.992186
147	9786.459722
148	9741.033914
149	9689.034884
150	9639.905461
151	9610.187539
152	9571.165481
153	9499.274488
154	9470.613353
155	9414.091116
156	9366.752889
157	9304.679464
158	9271.249705
159	9231.103007
160	9194.501563
161	9163.92847
162	9098.864789
163	9067.061439
164	9036.741477
165	9011.094093
166	8964.3426
167	8929.5079
168	8879.530214
169	8825.483911
170	8776.117215
171	8749.323081
172	8700.189592
173	8672.885206
174	8642.664379
175	8599.128129
176	8548.400042
177	8509.306803
178	8454.907517
179	8415.088158
180	8380.936037
181	8337.179828
182	8296.026446
183	8258.592428
184	8231.488886
185	8196.74837
186	8157.99113
187	8113.753838
188	8086.227915
189	8055.85833
190	8021.488372
191	7994.096799
192	7971.366862
193	7951.506837
194	7933.500349
195	7918.399471
196	7868.064475
197	7840.483558
198	7797.955559
199	7762.779362
200	7733.523639
201	7705.717652
202	7675.459673
203	7642.212677
204	7614.666859
205	7588.819151
206	7557.07474
207	7514.954296
208	7470.982752
209	7444.62475
210	7413.912621
211	7383.811942
212	7375.290244
213	7339.011457
214	7314.234415
215	7295.776988
216	7278.615815
217	7244.163676
218	7215.001305
219	7178.544565
220	7164.693385
221	7129.107475
222	7096.471773
223	7074.619726
224	7045.329185
225	7014.611988
226	6980.341649
227	6956.022771
228	6904.623673
229	6872.891196
