iter	Passed	Remaining
0	2	1197
1	7	1902
2	10	1704
3	13	1648
4	15	1546
5	17	1465
6	21	1493
7	23	1445
8	25	1412
9	28	1378
10	39	1735
11	44	1794
12	47	1784
13	50	1765
14	55	1781
15	57	1746
16	61	1738
17	63	1695
18	65	1658
19	68	1640
20	72	1643
21	74	1614
22	77	1600
23	79	1569
24	80	1535
25	82	1500
26	83	1470
27	88	1492
28	91	1481
29	93	1460
30	95	1441
31	97	1424
32	99	1401
33	102	1398
34	104	1385
35	106	1372
36	109	1364
37	111	1349
38	113	1342
39	115	1323
40	118	1321
41	120	1315
42	122	1304
43	125	1299
44	127	1290
45	129	1280
46	131	1265
47	132	1251
48	134	1240
49	136	1226
50	138	1215
51	142	1224
52	145	1228
53	149	1231
54	154	1254
55	157	1251
56	160	1245
57	161	1232
58	162	1217
59	164	1205
60	166	1198
61	168	1190
62	170	1181
63	172	1174
64	174	1165
65	175	1156
66	177	1146
67	178	1135
68	180	1127
69	182	1118
70	183	1110
71	185	1102
72	187	1095
73	188	1085
74	190	1078
75	191	1070
76	193	1061
77	194	1052
78	195	1043
79	197	1035
80	199	1030
81	200	1022
82	202	1015
83	203	1009
84	205	1001
85	206	994
86	208	987
87	209	980
88	210	973
89	213	972
90	215	969
91	217	963
92	219	961
93	221	955
94	222	950
95	224	944
96	226	939
97	227	933
98	229	929
99	231	924
100	232	918
101	234	913
102	235	908
103	237	902
104	238	897
105	240	893
106	241	887
107	243	882
108	244	878
109	246	875
110	248	870
111	250	866
112	251	861
113	253	857
114	254	851
115	255	847
116	257	842
117	258	837
118	260	835
119	262	831
120	264	827
121	266	826
122	268	822
123	270	819
124	272	816
125	273	811
126	274	807
127	276	803
128	278	800
129	279	796
130	281	792
131	283	790
132	284	785
133	286	781
134	287	777
135	288	773
136	290	768
137	292	766
138	294	763
139	295	759
140	297	756
141	298	753
142	300	750
143	301	746
144	303	742
145	304	738
146	305	734
147	308	734
148	310	731
149	312	729
150	315	728
151	317	726
152	319	724
153	320	721
154	322	718
155	324	715
156	326	712
157	328	710
158	329	707
159	331	704
160	332	700
161	334	697
162	335	694
163	337	690
164	338	687
165	340	684
166	341	681
167	343	678
168	345	676
169	346	673
170	348	669
171	349	666
172	351	663
173	352	660
174	356	661
175	358	659
176	360	658
177	362	655
178	364	653
179	365	650
180	367	647
181	368	644
182	370	641
183	372	638
184	373	636
185	375	633
186	376	630
187	378	628
188	380	625
189	381	622
190	383	619
191	384	616
192	385	613
193	387	611
194	389	608
195	390	605
196	392	603
197	394	601
198	395	598
199	397	595
200	398	592
201	399	589
202	401	586
203	403	585
204	405	583
205	407	580
206	409	579
207	410	576
208	412	574
209	414	571
210	415	569
211	416	566
212	418	563
213	420	561
214	421	559
215	423	556
216	425	554
217	426	552
218	428	549
219	429	546
220	431	544
221	432	541
222	433	538
223	435	536
224	437	534
225	439	532
226	440	530
227	442	527
228	444	526
229	446	524
230	450	524
231	453	523
232	455	522
233	457	520
234	460	519
235	463	518
236	466	517
237	469	517
238	472	515
239	474	513
240	476	511
241	477	509
242	479	507
243	481	505
244	483	503
245	485	501
246	487	499
247	489	497
248	490	494
249	492	492
250	493	489
251	494	486
252	496	484
253	498	483
254	501	482
255	503	480
256	506	478
257	510	4782258	516	481
259	520	480
260	522	478
261	524	476
262	526	474
263	528	4722264	530	4702265	533	469
266	536	4672267	538	4652268	539	4632269	541	4612270	543	4592271	545	4562272	548	4552273	550	4532274	552	4522275	554	4502276	556	4472277	557	4452278	559	4422279	560	4402280	562	4382281	564	4362282	565	4332283	567	4312284	569	4292285	570	4272286	572	4242287	574	4222288	575	4192289	577	4172290	579	4162291	580	4132292	582	4112293	584	4092294	585	4062295	587	4042296	588	4022297	590	4002298	592	3982299	594	3962300	596	3943301	598	3923302	600	3903303	602	3883304	604	3863305	605	3833306	607	3813307	608	3793308	610	3773309	612	3753310	614	3733311	615	3713312	617	3683313	619	3663314	620	3643315	621	3613316	622	3593317	624	3573318	626	3553319	627	3533320	629	3503321	630	3483322	632	3463323	634	3443324	635	3423325	636	3393326	639	3383327	641	3363328	642	3343329	644	3323330	646	3303331	648	3273332	649	3253333	651	3233334	652	3213335	654	3193336	655	3173337	657	3153338	659	3133339	661	311
340	663	309
341	664	307
342	666	305
343	667	302
344	668	3003345	670	2983346	672	2963347	673	2943348	675	2923349	677	2903350	678	2883351	680	2863352	681	2833353	682	2813354	684	2793355	686	2773356	689	2763357	690	2733358	692	2723359	694	2703360	696	2683361	697	2663362	699	2633363	700	2613364	702	2593365	704	2573366	705	2553367	707	2533368	709	2513369	710	2493370	712	2473371	713	2453372	714	2433373	716	2413374	718	2393375	720	2373376	721	2353377	723	2333378	724	2313379	726	2293380	727	2273381	729	2253382	730	2233383	732	2213384	734	2193385	736	2173386	737	2153387	739	2133388	741	2113389	743	2093390	744	2073391	746	2053392	747	2033393	749	2013394	751	1993395	753	1973396	755	1953397	756	1933398	758	1913399	759	1893400	761	187
401	762	185
402	764	183
403	765	181
404	767	180
405	769	178
406	771	176
407	772	174
408	774	172
409	775	170
410	777	168
411	778	166
412	780	164
413	783	162
414	784	160
415	787	158
416	789	157
417	790	155
418	795	153
419	797	151
420	799	150
421	800	148
422	803	146
423	804	144
424	805	142
425	807	140
426	808	138
427	810	136
428	811	134
429	813	132
430	815	130
431	816	128
432	818	126
433	820	124
434	821	122
435	823	120
436	824	118
437	826	116
438	830	115
439	832	113
440	834	111
441	836	109
442	837	107
443	839	105
444	841	103
445	842	102
446	844	100
447	846	98
448	847	96
449	849	94
450	851	92
451	853	90
452	854	88
453	856	86
454	857	84
455	859	82
456	860	80
457	862	79
458	863	77
459	865	75
460	867	73
461	868	71
462	870	69
463	872	67
464	873	65
465	875	63
466	878	62
467	879	60
468	882	58
469	883	56
470	885	54
471	887	52
472	888	50
473	890	48
474	891	46
475	893	45
476	895	43
477	897	41
478	898	39
479	900	37
480	901	35
481	903	33
482	904	31
483	906	29
484	908	28
485	910	26
486	911	24
487	913	22
488	915	20
489	916	18
490	919	16
491	921	14
492	925	13
493	929	11
494	931	9
495	934	7
496	937	5
497	941	3
498	944	1
499	946	0

499	954	0
